省份,local_i_low,quad_low,local_i_green,quad_green
上海,1.2497999258197794,HH,3.328936301048553,HH
云南,0.16294399635367307,LL,0.32139455895821706,LL
内蒙古,0.06329491192276267,LL,0.2402403732904746,LL
北京,-0.21861246832111536,HL,0.6392227000281671,HH
吉林,0.23810895387182823,LL,0.28764020130341317,LL
四川,-0.2376041745134497,HL,0.2396969301915043,LL
天津,-0.1869203700140249,LH,0.36219445375548864,HH
宁夏,0.46157983867636526,LL,0.20326130924769026,LL
安徽,-0.019773231729669036,LH,0.0005628365616929771,HH
山东,0.013874900540900221,HH,-0.003021080727251544,HL
山西,-0.018954766896522732,HL,0.33318840858476473,LL
广东,-1.413444678840088,HL,-0.6658178332119201,HL
广西,-0.08199079445094937,LH,0.10560500763906858,LL
新疆,0.18342286453616954,LL,0.5180181835433728,LL
江苏,0.41510575585027243,HH,0.7589127479436887,HH
江西,-0.14630102224630698,LH,-0.0755117771184888,LH
河北,-0.005574469392854119,LH,0.04406403076848768,LL
河南,0.008772842530936041,LL,0.10228330344641849,LL
浙江,0.1438357678324288,HH,0.7432876663305785,HH
海南,-0.879977926149284,LH,-0.24943271577386592,LH
湖北,0.023494892430794855,LL,0.012491900159219579,LL
湖南,-0.034304331569743614,LH,0.01796463039783844,LL
甘肃,0.2931387468576386,LL,0.5827918789236451,LL
福建,-0.25335978424585065,LH,0.09129170863184331,HH
贵州,0.14180606661770698,LL,0.25361296952739915,LL
辽宁,0.10361741154952596,LL,0.1742005479558993,LL
重庆,0.04770176532418793,LL,-0.017038569563436346,HL
陕西,0.1443108412752883,LL,0.21021221161666256,LL
青海,0.3407805477637369,LL,0.2478596549720362,LL
黑龙江,0.19905397957600354,LL,0.40172981327373164,LL
